0,92,67
1,127,68
2,94,70
3,94,70
4,122,66
5,94,69
6,122,67
7,121,66
8,121,66
9,124,67
10,120,64
11,123,65
12,126,65
13,95,66
14,96,65
15,129,61
16,127,61
17,130,62
18,129,61
19,129,59
20,128,59
21,129,58
22,131,56
23,132,56
24,132,56
25,129,56
26,131,55
27,130,54
28,129,54
29,128,53
30,129,53
31,102,56
32,102,55
33,102,55
34,103,55
35,128,54
36,130,54
37,103,56
38,103,56
39,132,54
40,101,57
41,133,54
42,130,55
43,132,55
44,93,60
45,122,59
46,121,61
47,115,61
48,110,62
49,76,66
50,73,67
51,69,69
52,66,71
53,89,72
54,80,68
55,78,69
56,59,71
57,60,71
58,59,69
59,61,70
60,63,70
61,64,70
62,65,70
63,65,70
64,65,69
65,65,69
66,65,69
67,91,70
68,95,71
69,65,69
70,66,68
71,92,66
72,94,65
73,69,62
74,92,62
75,93,57
76,96,56
77,95,54
78,100,52
79,99,52
80,106,51
81,105,49
82,113,48
83,119,46
84,117,46
85,122,47
86,125,46
87,132,47
88,135,46
89,140,47
90,114,47
91,116,47
92,147,48
93,150,47
94,119,47
95,119,47
96,119,48
97,118,48
98,117,49
99,146,49
100,149,51
101,145,52
102,142,53
103,139,54
104,102,53
105,129,53
106,126,54
107,125,54
108,119,53
109,118,51
110,113,51
111,111,51
112,108,49
113,108,50
114,106,50
115,104,48
116,105,48
117,104,48
118,101,48
119,102,48
120,101,48
121,100,49
122,100,49
123,99,49
124,99,49
125,99,49
126,98,50
127,97,49
128,98,49
129,97,49
130,98,49
131,98,49
132,97,48
133,97,49
134,96,49
135,96,49
136,94,49
137,79,51
138,97,47
139,80,50
140,94,48
141,94,48
142,94,49
143,83,50
144,98,49
145,85,50
146,99,49
147,99,49
148,100,49
149,85,49
150,100,49
151,100,49
152,99,48
153,100,49
154,99,48
155,98,48
156,99,48
157,99,49
158,99,49
159,99,48
160,100,49
161,85,51
162,85,52
163,85,53
164,99,52
165,98,52
166,99,53
167,100,54
168,87,55
169,103,56
170,102,55
171,106,59
172,105,58
173,88,60
174,89,61
175,109,61
176,110,61
177,90,62
178,90,62
179,113,61
180,113,61
181,111,60
182,112,59
183,114,59
184,116,60
185,95,61
186,120,61
187,98,62
188,100,63
189,102,64
190,129,66
191,107,68
192,139,71
193,139,71
194,116,68
195,118,70
196,121,71
197,123,73
198,126,74
199,128,76
200,130,76
201,131,77
202,133,77
203,134,77
204,136,75
205,135,75
206,136,73
207,137,70
208,136,68
209,133,65
210,130,62
211,124,59
212,118,57
213,151,57
214,144,55
215,134,56
216,129,53
217,119,53
218,108,53
219,100,53
220,95,52
221,93,54
222,89,54
223,85,55
224,86,56
225,84,55
226,83,57
227,83,56
228,86,57
229,88,60
230,91,64
231,96,64
232,105,65
233,84,63
234,87,64
235,90,65
236,93,65
237,95,65
238,97,65
239,127,68
240,100,65
241,101,65
242,101,64
243,102,64
244,102,64
245,123,64
246,127,66
247,127,65
248,123,62
249,121,61
250,119,62
251,115,62
252,116,61
253,111,61
254,112,59
255,111,58
256,111,58
